region,type,elasticity,std_err,r_squared,p_value,ci_lower,ci_upper,interpretation,n_obs
Philadelphia,conventional,-0.6894,0.0816,0.2993,0.0,-0.8506,-0.5283,inelastic,169
Philadelphia,organic,-2.0044,0.4442,0.1087,1.2e-05,-2.8815,-1.1273,elastic,169
PhoenixTucson,conventional,-0.8506,0.0477,0.656,0.0,-0.9447,-0.7565,inelastic,169
PhoenixTucson,organic,-1.5044,0.1172,0.4965,0.0,-1.7359,-1.2729,elastic,169
Pittsburgh,conventional,-1.4077,0.1435,0.3656,0.0,-1.691,-1.1244,elastic,169
Pittsburgh,organic,-2.5079,0.9,0.0444,0.005942,-4.2846,-0.7311,elastic,169
Portland,conventional,-0.9853,0.0641,0.5858,0.0,-1.1119,-0.8588,unit_elastic,169
Portland,organic,-1.2007,0.0753,0.6037,0.0,-1.3494,-1.0521,elastic,169
RaleighGreensboro,conventional,-0.3047,0.1071,0.0462,0.004995,-0.5161,-0.0933,inelastic,169
RaleighGreensboro,organic,0.3907,0.2005,0.0222,0.053058,-0.0052,0.7866,inelastic,169
RichmondNorfolk,conventional,-0.5716,0.1145,0.1298,1e-06,-0.7976,-0.3455,inelastic,169
RichmondNorfolk,organic,-0.8652,0.2174,0.0866,0.000103,-1.2944,-0.436,inelastic,169
Roanoke,conventional,-0.7797,0.1121,0.2246,0.0,-1.001,-0.5583,inelastic,169
Roanoke,organic,-1.0277,0.1028,0.3746,0.0,-1.2305,-0.8248,elastic,169
Sacramento,conventional,-0.662,0.0781,0.3008,0.0,-0.8162,-0.5079,inelastic,169
Sacramento,organic,-1.3137,0.1094,0.4634,0.0,-1.5296,-1.0977,elastic,169
SanDiego,conventional,-0.7213,0.0426,0.6316,0.0,-0.8055,-0.6372,inelastic,169
SanDiego,organic,-0.5083,0.1065,0.1201,4e-06,-0.7185,-0.2981,inelastic,169
SanFrancisco,conventional,-0.8157,0.0517,0.5981,0.0,-0.9179,-0.7136,inelastic,169
SanFrancisco,organic,-0.7567,0.0822,0.3367,0.0,-0.919,-0.5945,inelastic,169
Seattle,conventional,-0.9772,0.0566,0.6413,0.0,-1.0888,-0.8655,unit_elastic,169
Seattle,organic,-1.1834,0.0847,0.5392,0.0,-1.3505,-1.0162,elastic,169
Spokane,conventional,-0.9623,0.069,0.5382,0.0,-1.0985,-0.8262,unit_elastic,169
Spokane,organic,-0.8601,0.1046,0.2883,0.0,-1.0666,-0.6537,inelastic,169
StLouis,conventional,-0.7915,0.0859,0.337,0.0,-0.9611,-0.6219,inelastic,169
StLouis,organic,-0.8915,0.0896,0.3723,0.0,-1.0683,-0.7146,inelastic,169
Syracuse,conventional,-0.4351,0.1995,0.0277,0.030576,-0.8289,-0.0413,inelastic,169
Syracuse,organic,-1.9755,0.2725,0.2393,0.0,-2.5136,-1.4374,elastic,169
Tampa,conventional,-0.7692,0.0888,0.3101,0.0,-0.9444,-0.5939,inelastic,169
Tampa,organic,-0.5366,0.2745,0.0224,0.052243,-1.0785,0.0053,inelastic,169
